------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
0LL020,------,------,------,1-I010
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,0Wa000,0Wa000,0Wa000,------
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,0Go000,------,------
------,0Wa000,0Wa000,0Wa000,0Go000
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,0Wa000,0Wa000,0Wa000,------
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
0LL030,------,------,------,0LL000
!n
