------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,0-X031,------,------
------,------,1-I100,------,------
!n
------,------,------,------,------
------,------,------,------,------
------,0Wa000,0Wa000,0Wa000,------
------,0Wa000,0Wa000,0Wa000,------
------,0Wa000,0Wa000,0Wa000,------
!n
------,------,------,------,------
------,------,0Go000,------,------
------,0Wa000,0Wa000,0Wa000,------
0-X110,0Wa000,0Wa000,0Wa000,0-X110
0Wa000,0Wa000,0Wa000,0Wa000,0Wa000
!n
------,------,------,------,------
------,------,------,------,------
------,0Wa000,0Wa000,0Wa000,------
------,0Wa000,0Wa000,0Wa000,------
------,0Wa000,0Wa000,0Wa000,------
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,0Go000,------,------
------,------,0Wa000,------,------
!n
