-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,g0Go000
-------,-------,-------,-------,-------,-------,g0Wa000
-------,-------,-------,-------,-------,f0-T031,g0Wa000
f1-I000,-------,-------,-------,-------,g0Wa000,g0Wa000
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,g0Go010,-------,-------,-------
-------,-------,-------,g0Wa010,-------,-------,-------
f0-T010,-------,-------,g0Wa010,-------,-------,f0-T030
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,f0LL000
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
f0LL030,-------,-------,-------,-------,-------,g0Go000
g0Wa010,-------,-------,-------,-------,-------,g0Wa000
g0Wa010,-------,-------,-------,-------,-------,g0Wa000
!n
