------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,1-I000,------,------
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,0-X000,------,------
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
0-I000,------,0Go000,------,0-I000
!n
------,------,------,------,------
------,------,------,------,------
------,0Wa000,------,0Wa000,------
0-I000,0Wa000,------,0Wa000,0-I000
!n
------,------,------,------,------
------,------,------,------,------
------,0Go000,------,0Go000,------
------,0Wa000,------,0Wa000,------
!n
