-----,-----,-----,-----,TT000
-----,-----,-----,-----,-----
-----,-----,TT000,-----,-----
-----,-----,-----,-----,-----
TT000,-----,-----,-----,-----
!n
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
!n
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
!n
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
!n
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
!n
