------,------,------,------,------,------,------
------,------,------,------,------,------,------
------,------,0-I000,1-I000,0-I000,------,------
!n
------,------,------,------,------,------,------
------,------,------,------,------,------,------
------,0Go000,0-I000,------,0-I000,0Go000,------
!n
------,------,------,------,------,------,------
------,------,------,------,------,------,------
------,------,------,------,------,------,------
!n
------,------,------,------,------,------,------
------,------,------,------,------,------,------
------,------,------,0-X010,------,------,------
!n
------,------,------,------,------,------,------
------,------,------,------,------,------,------
------,0-I010,0-L010,------,0-L020,0-I010,------
!n
------,------,------,------,------,------,------
------,------,------,------,------,------,------
------,0Go000,0-I000,------,0-I000,0Go000,------
!n
------,------,------,------,------,------,------
------,------,------,------,------,------,------
------,------,------,------,------,------,------
!n
