-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,g0Go010,-------,-------,-------
-------,g0Wa000,g0Ho000,g0Wa000,g0Ho000,g0Wa000,-------
f1-I000,g0Ho000,g0Wa000,g0Ho000,g0Wa000,g0Ho000,-------
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,g0Go010
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,g0Go010,-------,-------
-------,g0Ho000,g0Wa000,g0Ho000,g0Wa000,g0Ho000,-------
f1-I000,g0Wa000,g0Ho000,g0Wa000,g0Ho000,g0Wa000,-------
!n
