-------,-------,-------,-------,-------,-------
g0Go000,-------,-------,-------,-------,-------
g0Wa000,-------,-------,-------,-------,-------
g0Wa000,g0Wa000,-------,-------,-------,f1-I000
g0Wa000,g0Wa000,-------,-------,-------,g0Wa000
g0Wa000,g0Wa000,-------,-------,g0Wa000,g0Wa000
!n
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
g0Wa000,-------,-------,-------,-------,f0LL000
g0Wa000,-------,-------,-------,-------,g0Wa000
g0Wa000,-------,-------,-------,-------,g0Wa000
!n
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
g0Wa000,-------,-------,-------,-------,-------
g0Wa000,-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
g0Go000,-------,-------,-------,-------,-------
g0Wa000,-------,-------,-------,-------,-------
g0Wa000,g0Wa000,-------,-------,-------,-------
g0Wa000,g0Wa000,-------,-------,-------,g0Go000
!n
