-------,-------,-------,-------
-------,-------,-------,-------
-------,-------,-------,-------
-------,-------,-------,-------
f1-I000,-------,-------,-------
!n
-------,-------,-------,-------
-------,-------,-------,-------
-------,-------,-------,-------
-------,-------,-------,-------
-------,-------,-------,-------
!n
-------,-------,-------,-------
-------,-------,-------,-------
-------,-------,-------,-------
-------,-------,-------,-------
f0LL030,-------,-------,f0-L000
!n
g0Go000,-------,-------,-------
g0Wa000,-------,-------,-------
g0Wa000,-------,-------,-------
g0Wa000,-------,-------,-------
g0Wa000,-------,f0LL000,g0Go000
!n
