-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,g0Wa000,-------,-------,-------
g0Go000,g0Wa000,g0Wa000,g0Wa000,f1-I000
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,g0Wa000,-------,-------,-------
f0-T310,g0Wa000,g0Wa000,g0Wa000,-------
!n
-------,-------,-------,-------,-------
f0TT010,-------,-------,-------,-------
f0-T310,g0Wa000,-------,-------,-------
g0Wa000,g0Wa000,g0Wa000,g0Wa000,-------
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,g0Wa000,-------,-------,-------
g0Go000,g0Wa000,g0Wa000,g0Wa000,-------
!n
