------,------,------,------,------,------
------,------,------,------,------,------
------,------,------,------,0Wa000,------
0-L020,0-I010,0-I010,0Go000,0Wa000,1-I000
!n
------,------,------,------,------,------
------,------,------,------,------,------
------,------,------,0Wa000,------,------
0-I000,0LL020,------,0Wa000,0-L020,0-T030
!n
------,------,------,------,------,------
------,------,------,------,------,------
------,------,------,------,------,------
0-I000,------,------,------,------,0-I000
!n
------,------,------,------,------,------
------,------,------,------,------,------
------,------,------,------,------,------
0-I000,0TT010,------,------,------,0-I000
!n
------,------,------,------,------,------
------,------,------,------,------,------
------,------,------,------,------,------
0-I000,0Go010,0TT020,------,0LL000,0-I000
!n
------,------,------,------,------,------
------,------,------,------,------,------
------,------,------,------,------,------
0-L030,0-I010,0-I010,0-I010,0-I010,0-L000
!n
