g0Go000,-------,-------,-------,-------
g0Wa000,-------,-------,-------,-------
g0Wa000,-------,-------,-------,-------
g0Wa000,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,f1XX000,-------,-------
-------,-------,g0Wa000,-------,-------
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,g0Go000
-------,-------,-------,-------,g0Wa000
-------,-------,-------,-------,g0Wa000
-------,-------,-------,-------,g0Wa000
!n
