------,------,------,------,------,------
0-I000,------,------,------,------,0-I000
0Wa000,------,------,------,------,0Wa000
0Wa000,1-I000,------,------,1-I000,0Wa000
!n
------,------,------,------,------,------
0-I000,------,------,------,------,0-I000
0Wa000,------,------,------,------,0Wa000
0Wa000,------,------,------,------,0Wa000
!n
------,------,------,------,------,------
0-I000,------,------,------,------,0-I000
0Wa000,------,------,------,------,0Wa000
0Wa000,------,------,------,------,0Wa000
!n
------,------,------,------,------,------
0-I000,------,------,------,------,0-I000
0Wa000,------,------,------,------,0Wa000
0Wa000,------,------,------,------,0Wa000
!n
------,------,------,------,------,------
0Go000,------,------,------,------,0Go000
0Wa000,------,------,------,------,0Wa000
0Wa000,------,------,------,------,0Wa000
!n
------,------,------,------,------,------
0-I000,------,------,------,------,0-I000
0Wa000,------,------,------,------,0Wa000
0Wa000,0LL030,0-L000,0-L030,0LL000,0Wa000
!n
