-------,-------,-------,-------
g0Go000,-------,-------,-------
g0Wa000,-------,-------,f0XX100
g0Wa000,-------,-------,f1-I100
!n
-------,-------,-------,-------
-------,-------,-------,-------
-------,-------,-------,-------
-------,-------,-------,-------
!n
-------,-------,-------,-------
-------,-------,-------,-------
-------,-------,-------,-------
-------,-------,-------,-------
!n
-------,-------,-------,-------
-------,-------,-------,g0Go000
-------,-------,-------,g0Wa000
-------,-------,-------,g0Wa000
!n
