------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
0-L020,0-I010,------,0-I010,1-I010
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,0Go000,------,------
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
0-L030,------,0-I030,0-I030,0-L010
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,0Go000,------,0-I020
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
0Go000,0-X000,------,------,------
!n
